                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.4138,                 1.0396,                0.96565,                0.42095,                0.30754,                0.31026,                0.17848,                 1.3578,                 1.0002,                0.94939,                0.00472,                0.00472,                0.00472
                     82,                 1.4046,                 1.0265,                0.96318,                0.41408,                0.31132,                0.30979,                0.17783,                 1.3599,                0.99969,                0.94893,               0.004654,               0.004654,               0.004654
                     83,                 1.4082,                 1.0284,                0.96192,                0.42235,                0.30914,                0.31147,                0.17897,                 1.3581,                0.99927,                0.94838,               0.004588,               0.004588,               0.004588
                     84,                 1.3988,                 1.0205,                0.96267,                0.42347,                0.30847,                0.31068,                0.17887,                 1.3578,                0.99771,                0.94875,               0.004522,               0.004522,               0.004522
                     85,                 1.4056,                 1.0235,                0.96232,                0.42053,                0.31087,                0.31103,                0.17885,                  1.356,                0.99683,                0.94822,               0.004456,               0.004456,               0.004456
                     86,                 1.4074,                  1.024,                0.96257,                0.41885,                0.30728,                0.31064,                0.17843,                 1.3555,                0.99738,                0.94794,                0.00439,                0.00439,                0.00439
                     87,                 1.3956,                  1.019,                0.96287,                0.41793,                 0.3114,                0.31168,                0.17941,                 1.3546,                  0.996,                0.94759,               0.004324,               0.004324,               0.004324
                     88,                 1.3964,                 1.0134,                0.96338,                0.41552,                0.30956,                0.31194,                0.17968,                 1.3529,                0.99609,                0.94724,               0.004258,               0.004258,               0.004258
                     89,                 1.4126,                 1.0266,                0.96199,                0.41624,                0.31414,                0.31268,                0.18008,                  1.353,                0.99515,                 0.9473,               0.004192,               0.004192,               0.004192
                     90,                 1.3895,                 1.0102,                0.95992,                0.41426,                0.31278,                0.31271,                0.18045,                 1.3528,                0.99369,                0.94693,               0.004126,               0.004126,               0.004126
                     91,                  1.396,                 1.0152,                0.96062,                0.42607,                0.30757,                0.31127,                0.17904,                 1.3528,                0.99272,                 0.9465,                0.00406,                0.00406,                0.00406
                     92,                 1.3962,                 1.0127,                0.96057,                 0.4212,                0.31319,                0.31261,                0.18013,                 1.3518,                0.99288,                0.94679,               0.003994,               0.003994,               0.003994
                     93,                 1.3885,                 1.0076,                0.95986,                0.41931,                0.31403,                0.31308,                0.18062,                 1.3507,                0.99186,                0.94695,               0.003928,               0.003928,               0.003928
                     94,                 1.3866,                 1.0035,                0.95792,                0.42106,                0.31549,                0.31446,                 0.1808,                 1.3498,                0.99259,                0.94646,               0.003862,               0.003862,               0.003862
                     95,                  1.393,                 1.0041,                0.96099,                0.42518,                 0.3148,                0.31479,                0.18165,                 1.3491,                0.99014,                 0.9462,               0.003796,               0.003796,               0.003796
                     96,                 1.3935,                 1.0085,                0.95976,                0.41969,                0.31742,                 0.3164,                0.18229,                 1.3487,                0.98859,                0.94638,                0.00373,                0.00373,                0.00373
                     97,                 1.3906,                0.99998,                 0.9555,                0.42529,                0.31445,                0.31673,                0.18244,                 1.3487,                0.98809,                0.94628,               0.003664,               0.003664,               0.003664
                     98,                 1.3838,                0.99817,                0.95629,                0.42578,                0.31464,                0.31738,                0.18288,                  1.348,                0.98724,                0.94562,               0.003598,               0.003598,               0.003598
                     99,                 1.3841,                0.99761,                0.95785,                0.42564,                0.31344,                0.31625,                0.18245,                 1.3472,                0.98753,                0.94559,               0.003532,               0.003532,               0.003532
                    100,                 1.3837,                0.99914,                0.95682,                0.42389,                0.31458,                0.31602,                 0.1824,                 1.3456,                0.98794,                0.94527,               0.003466,               0.003466,               0.003466
                    101,                 1.3797,                0.99382,                0.95586,                0.42371,                0.31546,                0.31637,                 0.1828,                 1.3435,                0.98485,                0.94475,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.3796,                0.99653,                0.95701,                0.42187,                0.31825,                0.31728,                0.18277,                  1.343,                0.98459,                0.94422,               0.003334,               0.003334,               0.003334
                    103,                  1.371,                0.98905,                0.95366,                0.42552,                0.31797,                0.31716,                0.18284,                 1.3424,                0.98364,                0.94393,               0.003268,               0.003268,               0.003268
                    104,                 1.3876,                0.99939,                0.95866,                0.42215,                0.31721,                0.31643,                0.18281,                 1.3424,                0.98349,                0.94406,               0.003202,               0.003202,               0.003202
                    105,                 1.3736,                0.98853,                0.95489,                0.42107,                0.31986,                0.31686,                0.18264,                 1.3416,                0.98389,                0.94384,               0.003136,               0.003136,               0.003136
                    106,                 1.3714,                 0.9889,                0.95505,                0.42643,                0.31625,                0.31739,                0.18248,                 1.3417,                0.98348,                0.94377,                0.00307,                0.00307,                0.00307
                    107,                 1.3706,                 0.9807,                0.95452,                  0.429,                0.31694,                0.31748,                0.18298,                 1.3417,                0.98232,                0.94388,               0.003004,               0.003004,               0.003004
                    108,                 1.3765,                0.98794,                0.95416,                 0.4252,                0.32063,                0.31765,                0.18297,                 1.3406,                0.98219,                0.94368,               0.002938,               0.002938,               0.002938
                    109,                 1.3756,                0.98618,                0.95453,                0.42277,                0.32036,                0.31738,                0.18289,                 1.3406,                0.98197,                0.94363,               0.002872,               0.002872,               0.002872
                    110,                 1.3804,                  0.986,                0.95439,                0.42504,                0.31708,                 0.3177,                0.18355,                 1.3403,                 0.9811,                0.94364,               0.002806,               0.002806,               0.002806
