                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.3095,                 0.9451,                0.93683,                0.44002,                0.34293,                0.34029,                0.19992,                 1.2914,                0.94165,                0.92922,               0.001288,               0.001288,               0.001288
                    134,                  1.311,                0.94713,                0.93637,                0.44285,                0.34355,                0.34063,                0.19997,                 1.2913,                 0.9415,                 0.9291,               0.001222,               0.001222,               0.001222
                    135,                 1.3077,                0.94454,                0.93356,                0.44114,                0.34443,                0.34095,                0.20026,                  1.291,                0.94108,                0.92904,               0.001156,               0.001156,               0.001156
                    136,                 1.3103,                0.94246,                0.93691,                0.43962,                 0.3457,                0.34122,                0.20034,                 1.2906,                0.94098,                0.92896,                0.00109,                0.00109,                0.00109
                    137,                 1.3042,                0.94069,                0.93386,                0.44025,                0.34404,                0.34063,                0.20024,                 1.2908,                0.94086,                0.92892,               0.001024,               0.001024,               0.001024
                    138,                 1.3136,                0.94642,                0.93626,                0.44091,                0.34548,                 0.3412,                0.20059,                 1.2902,                0.94033,                0.92881,               0.000958,               0.000958,               0.000958
                    139,                 1.3025,                0.93674,                0.93382,                0.44135,                0.34409,                0.34081,                0.20046,                 1.2907,                0.94078,                0.92888,               0.000892,               0.000892,               0.000892
                    140,                 1.2967,                0.93645,                0.93457,                0.44045,                0.34492,                0.34083,                0.20027,                 1.2906,                0.94067,                0.92894,               0.000826,               0.000826,               0.000826
                    141,                 1.2938,                 0.9288,                0.94192,                0.44286,                0.34328,                0.34058,                0.20022,                 1.2902,                 0.9402,                0.92886,                0.00076,                0.00076,                0.00076
                    142,                 1.2841,                0.91316,                0.93822,                0.44259,                0.34267,                0.34093,                0.20029,                   1.29,                0.94018,                0.92869,               0.000694,               0.000694,               0.000694
                    143,                 1.2796,                0.90615,                0.93645,                0.44507,                 0.3419,                0.34131,                0.20044,                 1.2898,                0.94023,                0.92865,               0.000628,               0.000628,               0.000628
                    144,                  1.284,                0.90869,                0.93904,                0.44549,                0.34188,                0.34149,                0.20052,                 1.2897,                0.94015,                0.92858,               0.000562,               0.000562,               0.000562
                    145,                 1.2712,                0.90302,                0.93665,                0.44733,                0.34088,                0.34162,                0.20046,                 1.2896,                0.93999,                0.92859,               0.000496,               0.000496,               0.000496
                    146,                 1.2697,                0.89824,                0.93401,                 0.4458,                0.34153,                0.34145,                0.20026,                 1.2896,                0.94007,                0.92854,                0.00043,                0.00043,                0.00043
                    147,                 1.2725,                0.90161,                0.93456,                0.44691,                0.34233,                0.34206,                0.20041,                 1.2894,                0.93997,                0.92851,               0.000364,               0.000364,               0.000364
                    148,                 1.2688,                0.89804,                0.93543,                  0.448,                0.34227,                0.34201,                0.20044,                 1.2894,                0.94007,                0.92854,               0.000298,               0.000298,               0.000298
                    149,                 1.2659,                0.89272,                0.93402,                0.44689,                0.34185,                0.34188,                0.20043,                 1.2892,                0.94018,                0.92845,               0.000232,               0.000232,               0.000232
                    150,                 1.2627,                0.89196,                0.93492,                0.44314,                0.34327,                 0.3419,                0.20035,                 1.2891,                0.94026,                0.92846,               0.000166,               0.000166,               0.000166
